"TOA5","CR1000","CR1000","70405","CR1000.Std.27.04","CPU:Piranometro-UVA-UVB-WS400WS200 CR1000.CR1","45947","Instrum"
"TIMESTAMP","RECORD","BattV","Piranom","UVA","UVB"
"TS","RN","Volts","mV","mV","mV"
"","","Avg","Avg","Avg","Avg"
"2023-09-21 07:59:00",186502,11.88,1.005,-2518,-2857
"2023-09-21 08:00:00",186503,11.89,1.033,-2515,-2855
"2023-09-21 08:01:00",186504,11.7,1.062,-2514,-2854
"2023-09-21 08:02:00",186505,11.89,1.087,-2514,-2854
"2023-09-21 08:03:00",186506,11.9,1.114,-2516,-2855
"2023-09-21 08:04:00",186507,11.77,1.139,-2515,-2856
"2023-09-21 08:05:00",186508,11.78,1.165,-2511,-2855
"2023-09-21 08:06:00",186509,11.9,1.189,-2514,-2856
"2023-09-21 08:07:00",186510,11.9,1.215,-2513,-2857
"2023-09-21 08:08:00",186511,11.66,1.238,-2512,-2857
"2023-09-21 08:09:00",186512,11.89,1.264,-2513,-2858
"2023-09-21 08:10:00",186513,11.9,1.292,-2514,-2860
"2023-09-21 08:11:00",186514,11.73,1.323,-2511,-2860
"2023-09-21 08:12:00",186515,11.82,1.355,-2508,-2858
"2023-09-21 08:13:00",186516,11.9,1.388,-2506,-2857
"2023-09-21 08:14:00",186517,11.9,1.419,-2503,-2855
"2023-09-21 08:15:00",186518,11.65,1.45,-2500,-2853
"2023-09-21 08:16:00",186519,11.89,1.488,-2501,-2852
"2023-09-21 08:17:00",186520,11.9,1.528,-2501,-2853
"2023-09-21 08:18:00",186521,11.71,1.57,-2498,-2853
"2023-09-21 08:19:00",186522,11.76,1.612,-2496,-2852
"2023-09-21 08:20:00",186523,11.9,1.656,-2497,-2852
"2023-09-21 08:21:00",186524,11.89,1.712,-2509,-2852
"2023-09-21 08:22:00",186525,11.67,1.769,-2517,-2855
"2023-09-21 08:23:00",186526,11.89,1.827,-2518,-2857
"2023-09-21 08:24:00",186527,11.9,1.891,-2516,-2857
"2023-09-21 08:25:00",186528,11.65,1.954,-2515,-2856
"2023-09-21 08:26:00",186529,11.89,2.015,-2513,-2854
"2023-09-21 08:27:00",186530,11.9,2.078,-2513,-2854
"2023-09-21 08:28:00",186531,11.9,2.147,-2513,-2855
"2023-09-21 08:29:00",186532,11.53,2.213,-2513,-2855
"2023-09-21 08:30:00",186533,11.9,2.284,-2512,-2855
"2023-09-21 08:31:00",186534,11.9,2.352,-2513,-2857
"2023-09-21 08:32:00",186535,11.59,2.411,-2516,-2860
"2023-09-21 08:33:00",186536,11.38,2.476,-2514,-2860
"2023-09-21 08:34:00",186537,11.9,2.534,-2512,-2859
"2023-09-21 08:35:00",186538,11.89,2.59,-2512,-2859
"2023-09-21 08:36:00",186539,11.65,2.628,-2511,-2859
"2023-09-21 08:37:00",186540,11.48,2.67,-2507,-2855
"2023-09-21 08:38:00",186541,11.89,2.705,-2509,-2855
"2023-09-21 08:39:00",186542,11.91,2.75,-2510,-2857
"2023-09-21 08:40:00",186543,11.66,2.773,-2511,-2858
"2023-09-21 08:41:00",186544,11.77,2.794,-2508,-2857
"2023-09-21 08:42:00",186545,11.89,2.832,-2509,-2857
"2023-09-21 08:43:00",186546,11.9,2.847,-2510,-2858
"2023-09-21 08:44:00",186547,11.71,2.856,-2509,-2858
"2023-09-21 08:45:00",186548,11.84,2.86,-2506,-2856
"2023-09-21 08:46:00",186549,11.9,2.865,-2506,-2854
"2023-09-21 08:47:00",186550,11.89,2.9,-2507,-2855
"2023-09-21 08:48:00",186551,11.68,2.905,-2512,-2860
"2023-09-21 08:49:00",186552,11.88,2.901,-2510,-2860
"2023-09-21 08:50:00",186553,11.9,2.904,-2508,-2858
"2023-09-21 08:51:00",186554,11.69,2.919,-2507,-2857
"2023-09-21 08:52:00",186555,11.73,2.927,-2507,-2857
"2023-09-21 08:53:00",186556,11.9,2.934,-2509,-2858
"2023-09-21 08:54:00",186557,11.89,2.949,-2507,-2856
"2023-09-21 08:55:00",186558,11.53,2.955,-2508,-2857
"2023-09-21 08:56:00",186559,11.89,2.942,-2506,-2855
"2023-09-21 08:57:00",186560,11.89,2.96,-2504,-2853
"2023-09-21 08:58:00",186561,11.67,2.969,-2509,-2856
"2023-09-21 08:59:00",186562,11.89,2.961,-2509,-2858
"2023-09-21 09:00:00",186563,11.9,2.974,-2508,-2858
"2023-09-21 09:01:00",186564,11.89,2.977,-2510,-2859
"2023-09-21 09:02:00",186565,11.56,2.987,-2507,-2858
"2023-09-21 09:03:00",186566,11.9,2.996,-2507,-2857
"2023-09-21 09:04:00",186567,11.89,3.027,-2508,-2858
"2023-09-21 09:05:00",186568,11.21,3.031,-2510,-2860
"2023-09-21 09:06:00",186569,10.63,3.05,-2509,-2861
"2023-09-21 09:07:00",186570,11.9,3.071,-2507,-2859
"2023-09-21 09:08:00",186571,11.89,3.099,-2507,-2859
"2023-09-21 09:09:00",186572,11.43,3.135,-2506,-2858
"2023-09-21 09:10:00",186573,11.05,3.174,-2506,-2857
"2023-09-21 09:11:00",186574,11.89,3.201,-2503,-2855
"2023-09-21 09:12:00",186575,11.9,3.248,-2506,-2857
"2023-09-21 09:13:00",186576,11.67,3.323,-2508,-2860
"2023-09-21 09:14:00",186577,11.78,3.368,-2506,-2859
"2023-09-21 09:15:00",186578,11.89,3.456,-2503,-2857
"2023-09-21 09:16:00",186579,11.9,3.53,-2500,-2854
"2023-09-21 09:17:00",186580,11.7,3.609,-2502,-2855
"2023-09-21 09:18:00",186581,11.89,3.665,-2502,-2856
"2023-09-21 09:19:00",186582,11.9,3.693,-2501,-2855
"2023-09-21 09:20:00",186583,11.89,3.748,-2504,-2858
"2023-09-21 09:21:00",186584,11.64,3.782,-2502,-2858
"2023-09-21 09:22:00",186585,11.9,3.629,-2499,-2854
"2023-09-21 09:23:00",186586,11.9,3.889,-2498,-2852
