id_historial,grd_id,tipo_registro,timestamp,direccion,valor,tipo_historico,tiempo_insercion
66794038,8,11,2021-09-09 06:20:00,6,206,1,2021-09-09 06:20:00
66794039,8,11,2021-09-09 06:20:00,7,0,1,2021-09-09 06:20:00
66794040,8,11,2021-09-09 06:20:00,8,0,1,2021-09-09 06:20:00
66794041,8,11,2021-09-09 06:30:00,1,88,1,2021-09-09 06:30:01
66794042,8,11,2021-09-09 06:30:00,2,9802,1,2021-09-09 06:30:01
66794043,8,11,2021-09-09 06:30:00,3,733,1,2021-09-09 06:30:01
66794044,8,11,2021-09-09 06:30:00,4,42,1,2021-09-09 06:30:01
66794045,8,11,2021-09-09 06:30:00,5,2070,1,2021-09-09 06:30:01
66794046,8,11,2021-09-09 06:30:00,6,176,1,2021-09-09 06:30:01
66794047,8,11,2021-09-09 06:30:00,7,0,1,2021-09-09 06:30:01
66794048,8,11,2021-09-09 06:30:00,8,0,1,2021-09-09 06:30:01
66794049,8,11,2021-09-09 06:40:00,1,90,1,2021-09-09 06:40:00
66794050,8,11,2021-09-09 06:40:00,2,9804,1,2021-09-09 06:40:00
66794051,8,11,2021-09-09 06:40:00,3,725,1,2021-09-09 06:40:00
66794052,8,11,2021-09-09 06:40:00,4,44,1,2021-09-09 06:40:00
66794053,8,11,2021-09-09 06:40:00,5,1977,1,2021-09-09 06:40:00
66794054,8,11,2021-09-09 06:40:00,6,373,1,2021-09-09 06:40:00
66794055,8,11,2021-09-09 06:40:00,7,0,1,2021-09-09 06:40:00
66794056,8,11,2021-09-09 06:40:00,8,0,1,2021-09-09 06:40:00
66794057,8,11,2021-09-09 06:50:00,1,89,1,2021-09-09 06:50:00
66794058,8,11,2021-09-09 06:50:00,2,9805,1,2021-09-09 06:50:00
66794059,8,11,2021-09-09 06:50:00,3,730,1,2021-09-09 06:50:00
66794060,8,11,2021-09-09 06:50:00,4,44,1,2021-09-09 06:50:00
66794061,8,11,2021-09-09 06:50:00,5,1934,1,2021-09-09 06:50:00
66794062,8,11,2021-09-09 06:50:00,6,177,1,2021-09-09 06:50:00
66794063,8,11,2021-09-09 06:50:00,7,0,1,2021-09-09 06:50:00
66794064,8,11,2021-09-09 06:50:00,8,0,1,2021-09-09 06:50:00
66794065,8,11,2021-09-09 07:00:00,1,88,1,2021-09-09 07:00:00
66794066,8,11,2021-09-09 07:00:00,2,9807,1,2021-09-09 07:00:00
66794067,8,11,2021-09-09 07:00:00,3,738,1,2021-09-09 07:00:00
66794068,8,11,2021-09-09 07:00:00,4,43,1,2021-09-09 07:00:00
66794069,8,11,2021-09-09 07:00:00,5,1880,1,2021-09-09 07:00:00
66794070,8,11,2021-09-09 07:00:00,6,238,1,2021-09-09 07:00:00
